월,구분,담당부서,광고주명,코드,총매출,영업수익,영업비용,영업실적,인건비,관리손익
2월,광고주,미디어채널팀,(주) 에이엠피엠글로벌,61266,"148,750,764","7,151,032",0,"7,151,032",0,"7,151,032"
2월,광고주,미디어채널팀,주식회사 지니앤솔루션,61055,"681,943,308","31,619,294","5,094,182","26,525,112",0,"26,525,112"
2월,광고주,미디어채널팀,주식회사 아이지에이웍스,61230,"963,759,153","20,121,283","15,200,004","4,921,279",0,"4,921,279"
2월,광고주,미디어채널팀,주식회사 드림인사이트,60015,"1,606,940,628","54,095,997","13,566,977","40,529,020",0,"40,529,020"
2월,광고주,미디어채널팀,주식회사 넥스트미디어그룹,61609,"2,992,319,348","57,696,177","57,696,177",0,0,0
2월,광고주,CS파트,(주)케이에스엔,26945,"-125,244","-18,787",0,"-18,787",0,"-18,787"
2월,광고주,CS파트,라이즈(Rise),58201,"-5,438",-815,0,-815,0,-815
2월,광고주,CS파트,김해가야전산회계학원,28049,645,-271,0,-271,0,-271
2월,광고주,운영실2팀 (주규철),리브로지,61348,"5,263",0,0,0,0,0
2월,광고주,광고사업3본부2실7팀 (류현서),에첼소(Eccelso),60425,"173,010","25,953",0,"25,953",0,"25,953"
2월,광고주,광고사업2본부1실1팀 (구준수),주식회사 에프앤에프,60670,0,0,"220,044","-220,044",0,"-220,044"
3월,광고주,광고사업3본부1실3팀 (이유진),(주)지에스리테일 홈쇼핑,61258,"803,986,009","118,079,786","244,475","117,835,311","82,890,308","34,945,003"
3월,광고주,광고사업3본부1실2팀 (조학성),십일번가 주식회사,60976,"1,757,323,714","99,421,167","11,162,822","88,258,345","82,675,970","5,582,375"
3월,광고주,광고사업1본부2실6팀 (이상우),씨제이 제일제당(주),42154,"1,260,950,709","161,068,113","2,550,314","158,517,799","81,456,616","77,061,183"
3월,광고주,광고사업2본부1실3팀 (장채은),주식회사 에이피알,58263,"1,629,492,652","238,039,706","68,583,171","169,456,535","75,462,549","93,993,986"
3월,광고주,광고사업1본부2실1팀 (추성호),라이나생명보험(주),61571,"1,221,662,031","174,737,752","85,876,642","88,861,110","60,882,514","27,978,596"
3월,광고주,광고사업3본부2실6팀 (조정훈),씨제이올리브영 주식회사,59875,"739,480,022","117,822,008",0,"117,822,008","60,256,652","57,565,356"
3월,광고주,광고사업1본부1실2팀 (이남준),(주)엘지유플러스,61001,"985,164,039","134,158,680","4,310,324","129,848,356","55,476,976","74,371,380"
3월,광고주,광고사업2본부3실4팀 (이세나),네슬레코리아 유한책임회사,60374,"394,736,390","59,998,745","122,285","59,876,460","45,142,061","14,734,399"
3월,광고주,광고사업3본부1실3팀 (이유진),(주)종근당,60913,"454,262,450","67,344,898","2,060,709","65,284,189","42,769,853","22,514,336"
3월,광고주,광고사업2본부1실6팀 (이승화),(주)코스알엑스,61268,"392,455,453","41,920,559",0,"41,920,559","40,052,597","1,867,962"
3월,광고주,광고사업3본부2실4팀 (조다솜),이니스프리,57802,"412,900,363","55,132,258","4,102,345","51,029,913","39,142,196","11,887,717"
3월,광고주,광고사업1본부1실4팀 (유승연),주식회사 버킷플레이스,61240,"556,277,400","54,737,626","10,807,293","43,930,333","38,538,449","5,391,884"
3월,광고주,광고사업1본부2실1팀 (추성호),씨제이제일제당(주)_브랜드스토어,61407,"265,990,665","35,702,220",0,"35,702,220","33,994,533","1,707,687"
3월,광고주,광고사업2본부3실7팀 (김가희),SK매직(주),58368,"209,254,783","34,960,924","1,108,948","33,851,976","33,045,755","806,221"
3월,광고주,광고사업1본부2실7팀 (주낙규),라이나생명보험(주)_CM,61572,"330,249,574","47,148,868","-7,314,393","54,463,261","31,437,296","23,025,965"
3월,광고주,광고사업3본부1실1팀 (강기민),(주)지에스리테일 홈쇼핑,61393,"406,870,023","61,030,502",0,"61,030,502","29,614,438","31,416,064"
3월,광고주,광고사업1본부1실4팀 (유승연),주식회사 버킷플레이스,60029,"335,254,189","50,288,128","12,573,817","37,714,311","29,314,478","8,399,833"
3월,광고주,광고사업1본부2실5팀 (조정현),엘지전자(주),56076,"373,925,286","44,264,006","16,508,836","27,755,170","28,709,921","-954,751"
3월,광고주,광고사업3본부1실1팀 (강기민),에스케이렌터카 주식회사,61386,"169,537,561","21,983,235","487,764","21,495,471","27,061,815","-5,566,344"
3월,광고주,광고사업2본부1실1팀 (구준수),주식회사 지누스,59244,"235,236,497","36,994,486",0,"36,994,486","26,469,679","10,524,807"
